survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1004950,1,1,2,78,2,25.27
bsh,1004960,1,7,1,23,3,43.316151
bsh,1004960,2,7,2,25,5,43.316151
bsh,1004960,3,7,2,25,5,43.316151
bsh,1004960,4,7,2,24,5,43.316151
bsh,1004970,1,3,2,58,2,43.316151
bsh,1004970,2,3,1,63,6,43.316151
bsh,1004970,3,4,2,32,3,43.316151
bsh,1004980,1,3,1,55,5,43.316151
bsh,1004980,2,3,2,52,5,43.316151
bsh,1004980,3,4,1,27,4,43.316151
bsh,1004980,4,4,1,24,3,43.316151
bsh,1004980,5,4,1,20,3,43.316151
bsh,1004980,6,4,1,15,,43.316151
bsh,1005000,1,2,1,31,5,14.44231
bsh,1005000,2,2,2,26,5,14.44231
bsh,1005020,1,1,2,86,1,25.27
bsh,1005050,1,2,2,25,3,14.44231
bsh,1005050,2,2,1,29,3,14.44231
bsh,1005060,1,2,1,30,3,14.44231
bsh,1005060,2,2,2,27,5,14.44231
bsh,1005070,1,1,2,87,6,25.27
bsh,1005080,1,3,2,40,6,43.316151
bsh,1005080,2,3,1,41,2,43.316151
bsh,1005080,3,4,2,9,,43.316151
bsh,1005080,4,4,1,7,,43.316151
bsh,1005080,5,4,1,2,,43.316151
bsh,1005090,1,3,2,67,3,43.316151
bsh,1005090,2,3,1,69,1,43.316151
bsh,1005090,3,4,2,42,3,43.316151
bsh,1005100,1,3,2,74,1,43.316151
bsh,1005100,2,3,1,47,4,43.316151
bsh,1005100,3,4,1,46,1,43.316151
bsh,1005150,1,3,2,62,4,73.480522
bsh,1005150,2,4,1,30,4,73.480522
bsh,1005160,1,3,2,52,3,45.478828
bsh,1005160,2,4,2,30,2,45.478828
bsh,1005160,3,4,2,33,3,45.478828
bsh,1005160,4,6,2,12,,45.478828
bsh,1005160,5,6,1,8,,45.478828
bsh,1005160,6,6,2,6,,45.478828
bsh,1005160,7,4,1,26,4,45.478828
bsh,1005240,1,3,2,49,2,45.478828
bsh,1005240,2,3,1,43,3,45.478828
bsh,1005240,3,4,1,11,,45.478828
bsh,1005240,4,4,2,9,,45.478828
bsh,1005240,5,4,2,7,,45.478828
bsh,1005240,6,4,1,5,,45.478828
bsh,1005390,1,3,1,53,1,48.70998
bsh,1005390,2,3,2,57,1,48.70998
bsh,1005390,3,4,1,29,4,48.70998
bsh,1005390,4,4,1,15,,48.70998
bsh,1005410,1,2,1,70,2,33.655167
bsh,1005410,2,2,2,68,2,33.655167
bsh,1005420,1,3,2,51,5,48.70998
bsh,1005420,2,3,1,47,5,48.70998
bsh,1005420,3,4,1,17,,48.70998
bsh,1005420,4,4,1,14,,48.70998
bsh,1005450,1,3,2,27,4,33.655167
bsh,1005450,2,4,2,3,,33.655167
bsh,1005480,1,3,1,60,4,48.70998
bsh,1005480,2,3,2,60,4,48.70998
bsh,1005480,3,4,2,25,3,48.70998
bsh,1005490,1,3,1,51,6,48.70998
bsh,1005490,2,3,2,47,1,48.70998
bsh,1005490,3,4,1,24,3,48.70998
bsh,1005490,4,4,1,16,,48.70998
bsh,1005510,1,3,1,67,5,48.70998
bsh,1005510,2,3,2,65,5,48.70998
bsh,1005510,3,4,1,26,2,48.70998
bsh,1005530,1,3,2,41,1,47.359657
bsh,1005530,2,4,1,16,,47.359657
bsh,1005530,3,4,1,14,,47.359657
bsh,1005530,4,4,1,12,,47.359657
bsh,1005530,5,4,1,9,,47.359657
bsh,1005610,1,3,1,32,1,48.70998
bsh,1005610,2,3,2,33,1,48.70998
bsh,1005610,3,4,2,12,,48.70998
bsh,1005660,1,3,1,62,4,31.371222
bsh,1005660,2,6,2,28,3,31.371222
bsh,1005660,3,4,1,30,4,31.371222
bsh,1005660,4,3,2,59,4,31.371222
bsh,1005660,5,4,2,22,3,31.371222
bsh,1005660,6,6,1,1,,31.371222
bsh,1005690,1,6,2,54,5,31.371222
bsh,1005690,2,6,2,24,3,31.371222
bsh,1005690,3,9,2,24,3,31.371222
bsh,1005690,4,6,1,26,3,31.371222
bsh,1005690,5,6,1,3,,31.371222
bsh,1005700,1,1,2,58,4,26.304001
bsh,1005710,1,2,1,27,3,21.659048
bsh,1005710,2,2,2,29,5,21.659048
bsh,1005740,1,3,1,30,3,31.371222
bsh,1005740,2,3,2,27,3,31.371222
bsh,1005740,3,4,1,3,,31.371222
bsh,1005740,4,4,2,1,,31.371222
bsh,1005770,1,1,1,45,4,26.304001
bsh,1005790,1,1,2,86,4,26.304001
